                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          2.0000000000000000E+000          8.5068950041122882E-001          1.8172620000000001E+005                       "gfortran"                          "9.2.0"            "x86_64-macos-20.4.1"                       "20220420" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             130          8.7269739209764134E+006          1.8172742081620937E+005          1.9138882449599245E+004          1.5906755766577143E+000          3.7397145734712782E+000          8.6967986567965800E+003          5.8925010182994829E+003         -9.9930619038065627E-001         -9.9999810467761463E-001          1.9999904247421729E+000          8.5068950041117231E-001         -9.8999999999999986E+001         -1.2178106260431560E+001         -2.0374526221903434E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2178106260431560E+001         -2.0374526221903434E+001          1.0000000000000000E+000         -6.3618003916628080E-009          8.3208932858381679E+053         -2.6106392911384312E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.6106392911384312E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             135          9.1637241147834789E+006          1.8172745862206293E+005          1.9138884440387825E+004          1.5906755766577110E+000          3.7397140190147300E+000          8.6967993087786144E+003          5.8925018552087513E+003         -9.9929332782868108E-001         -9.9999810468032291E-001          1.9999901282201329E+000          8.5068950041117020E-001         -9.8999999999999986E+001         -1.2160992645811040E+001         -2.0374741105637266E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2160992645811040E+001         -2.0374741105637266E+001          1.0000000000000000E+000         -6.1129598053302943E-009          8.3208929176907994E+053         -2.7155673250195542E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.7155673250195542E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             140          9.6207922642376553E+006          1.8172750005310521E+005          1.9138886622072110E+004          1.5906755766577085E+000          3.7397134113917518E+000          8.6968000232788272E+003          5.8925027723688690E+003         -9.9927865040690433E-001         -9.9999810468228467E-001          1.9999898032648136E+000          8.5068950041116798E-001         -9.8999999999999986E+001         -1.2139258232238651E+001         -2.0374898006326720E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2139258232238651E+001         -2.0374898006326720E+001          1.0000000000000000E+000         -5.8124633287561132E-009          8.3208925142419647E+053         -2.8549275152130950E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.8549275152130950E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             145          1.0100805179456627E+007          1.8172754603156357E+005          1.9138889043214869E+004          1.5906755766577061E+000          3.7397127370771264E+000          8.6968008162014848E+003          5.8925037901951937E+003         -9.9926248164413300E-001         -9.9999810468334227E-001          1.9999894426429596E+000          8.5068950041116587E-001         -9.8999999999999986E+001         -1.2114030934536663E+001         -2.0374984544044747E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2114030934536663E+001         -2.0374984544044747E+001          1.0000000000000000E+000         -5.4833553392798502E-009          8.3208920665111750E+053         -3.0256765061689465E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.0256765061689465E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             150          1.0607666346789384E+007          1.8172759770632410E+005          1.9138891764314270E+004          1.5906755766577050E+000          3.7397119792215134E+000          8.6968017073596729E+003          5.8925049341206204E+003         -9.9924488923663046E-001         -9.9999810468332340E-001          1.9999890373435836E+000          8.5068950041116365E-001         -9.8999999999999986E+001         -1.2085861974768031E+001         -2.0374986617369164E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2085861974768031E+001         -2.0374986617369164E+001          1.0000000000000000E+000         -5.1389614212265346E-009          8.3208915633107814E+053         -3.2284314954944229E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.2284314954944229E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             155          1.1143068098750167E+007          1.8172765614075953E+005          1.9138894841365443E+004          1.5906755766577052E+000          3.7397111222297337E+000          8.6968027150917369E+003          5.8925062276850258E+003         -9.9922596651950746E-001         -9.9999810468204597E-001          1.9999885790264211E+000          8.5068950041116154E-001         -9.8999999999999986E+001         -1.2055350095816751E+001         -2.0374888686129321E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2055350095816751E+001         -2.0374888686129321E+001          1.0000000000000000E+000         -4.7913887594426236E-009          8.3208909942858571E+053         -3.4634075014037439E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.4634075014037439E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             160          1.1705836448545508E+007          1.8172772223642885E+005          1.9138898321842677E+004          1.5906755766577050E+000          3.7397101528797991E+000          8.6968038549454377E+003          5.8925076908461924E+003         -9.9920573836558479E-001         -9.9999810467936956E-001          1.9999880606203855E+000          8.5068950041115932E-001         -9.8999999999999986E+001         -1.2022588468639945E+001         -2.0374677344100043E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2022588468639945E+001         -2.0374677344100043E+001          1.0000000000000000E+000         -4.4454028596469935E-009          8.3208903506572072E+053         -3.7347830364563271E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.7347830364563271E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             165          1.2295704359290469E+007          1.8172779710099017E+005          1.9138902264072978E+004          1.5906755766577070E+000          3.7397090549271437E+000          8.6968051460227834E+003          5.8925093481243230E+003         -9.9918428335201537E-001         -9.9999810467521055E-001          1.9999874734379190E+000          8.5068950041115710E-001         -9.8999999999999986E+001         -1.1988304151001406E+001         -2.0374343798658085E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1988304151001406E+001         -2.0374343798658085E+001          1.0000000000000000E+000         -4.1111218809499531E-009          8.3208896216386752E+053         -4.0415678421334621E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.0415678421334621E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             170          1.2912560517837027E+007          1.8172788201100079E+005          1.9138906735277207E+004          1.5906755766577090E+000          3.7397078096502252E+000          8.6968066103384936E+003          5.8925112277785092E+003         -9.9916165641308696E-001         -9.9999810466955685E-001          1.9999868074667870E+000          8.5068950041115421E-001         -9.8999999999999986E+001         -1.1952598373861671E+001         -2.0373884950733153E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1952598373861671E+001         -2.0373884950733153E+001          1.0000000000000000E+000         -3.7906476985616885E-009          8.3208887947994230E+053         -4.3878912213109497E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.3878912213109497E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             175          1.3559658620926861E+007          1.8172797887676978E+005          1.9138911836048290E+004          1.5906755766577132E+000          3.7397063890330897E+000          8.6968082808365962E+003          5.8925133720971935E+003         -9.9913790476669373E-001         -9.9999810466242955E-001          1.9999860477241231E+000          8.5068950041115132E-001         -9.8999999999999986E+001         -1.1915693104900116E+001         -2.0373298870469281E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1915693104900116E+001         -2.0373298870469281E+001          1.0000000000000000E+000         -3.4865366469594508E-009          8.3208878515372548E+053         -4.7770672184451403E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.7770672184451403E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             180          1.4232676400039051E+007          1.8172808867280290E+005          1.9138917617701361E+004          1.5906755766577199E+000          3.7397047787842359E+000          8.6968101743226507E+003          5.8925158026529052E+003         -9.9911323286287479E-001         -9.9999810465400163E-001          1.9999851865668656E+000          8.5068950041114844E-001         -9.8999999999999986E+001         -1.1878134787431799E+001         -2.0372596803821612E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1878134787431799E+001         -2.0372596803821612E+001          1.0000000000000000E+000         -3.2028602061172528E-009          8.3208867823626977E+053         -5.2085871059337576E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.2085871059337576E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
